wedge,pain,frequency,differentiation,competitive_advantage,wtp,margin,acquisition,retention,capital_efficiency,operational_feasibility,regulatory_feasibility,technical_feasibility,moat,serbia_opportunity,regional_scalability,solo_founder_fit,weighted_score
Repeat-purchase bridge,8,6,8,8,8,9,7,8,9,8,8,9,8,7,7,9,7.97
Hybrid discover-visit-save-reorder,8,6,8,7,8,8,6,8,8,7,8,8,8,8,8,8,7.66
Winery lead generation,8,7,7,7,8,9,7,7,9,9,9,9,6,8,7,9,7.79
Corporate gifting,7,4,6,6,9,7,6,5,7,6,7,8,5,7,6,7,6.45
Wine Passport,7,6,7,7,5,9,7,8,9,9,9,9,7,7,8,9,7.53
Winery CRM/DTC-lite,7,8,5,4,8,9,5,8,8,6,7,7,6,7,8,7,6.8
HORECA discovery,6,7,6,5,8,8,5,7,8,7,8,8,6,6,8,7,6.78
Experience booking,7,5,5,4,8,9,6,6,7,6,6,7,5,7,8,7,6.38
Taste Match,6,6,5,4,4,9,7,7,9,9,9,8,4,7,8,9,6.63
Tourism discovery,6,4,4,4,4,9,7,5,9,9,9,9,4,7,8,9,6.34
Export/importer discovery,6,5,5,4,8,8,4,5,8,6,6,8,5,6,8,6,6.04
Wine discovery,5,6,4,3,4,9,7,5,9,9,9,9,4,7,8,9,6.29
Wine events,5,5,5,5,5,8,6,6,8,8,9,9,4,6,7,9,6.3
Smart routes,6,3,4,4,3,9,6,5,8,8,7,8,3,6,8,8,5.71
Full marketplace,8,6,6,5,9,5,4,8,2,3,3,5,7,8,9,4,5.97
Wine club,5,8,4,4,7,5,4,8,4,4,5,7,5,6,7,5,5.44
Directory/map,4,4,2,2,2,9,8,3,10,10,10,10,2,5,7,10,5.55
